X,Y,Z,formation
353.88,-308.63,403.49,ground1
456.45,-238.96,421.82,ground1
298.99,-105.49,352.13,ground1
311.46,-272.46,352.32,ground1
294.08,-27.20,352.12,ground1
426.00,-282.59,415.10,ground1
89.19,1.58,426.27,ground1
121.88,11.06,403.99,ground1
243.15,-20.74,352.68,ground1
6.29,-293.54,455.66,ground1
296.05,-240.80,352.12,ground1
57.67,-101.34,452.05,ground1
-28.27,-264.61,440.33,ground1
104.77,52.44,416.56,ground1
216.60,-32.19,355.41,ground1
374.30,50.52,405.72,ground1
98.37,-36.81,420.49,ground1
344.33,-52.29,401.96,ground1
562.14,-141.21,447.61,ground1
92.53,-245.08,424.55,ground1
54.42,64.20,454.26,ground1
157.06,66.71,378.78,ground1
-32.61,57.80,438.77,ground1
170.46,-179.04,371.23,ground1
198.52,-243.15,359.21,ground1
400.03,65.36,409.92,ground1
54.61,-257.59,454.21,ground1
562.78,-192.01,447.77,ground1
83.72,-269.68,430.13,ground1
353.77,-296.98,403.26,ground1
90.32,-150.67,425.45,ground1
89.65,-228.12,425.81,ground1
345.25,-261.77,402.16,ground1
374.10,21.04,405.70,ground1
311.48,-269.81,352.36,ground1
29.30,58.14,458.46,ground1
44.72,35.10,457.08,ground1
246.26,-211.44,352.51,ground1
90.36,-182.22,425.40,ground1
353.77,-238.40,403.27,ground1
140.39,-260.46,390.30,ground1
64.59,43.45,450.82,ground1
64.22,29.91,451.31,ground1
90.35,-162.62,425.42,ground1
24.43,-49.81,457.22,ground1
520.82,-226.57,437.18,ground1
353.63,0.90,403.39,ground1
89.95,-115.29,425.72,ground1
271.89,-194.08,352.16,ground1
344.34,-55.63,401.99,ground1
344.33,-59.61,401.96,ground1
244.89,8.16,352.63,ground1
-13.04,-30.03,448.09,ground1
420.42,-123.94,414.06,ground1
190.06,-69.53,361.58,ground1
344.34,-55.15,401.99,ground1
563.05,6.02,447.84,ground1
344.35,-48.85,402.01,ground1
64.44,-288.72,451.22,ground1
-60.00,9.41,420.38,ground1
355.66,-248.10,403.23,ground1
218.47,-170.27,355.06,ground1
345.85,-167.77,402.31,ground1
-16.76,68.01,446.79,ground1
-58.60,-191.77,421.21,ground1
168.15,-27.91,372.54,ground1
139.25,-285.02,391.18,ground1
118.73,-91.37,406.30,ground1
57.55,-40.52,452.21,ground1
561.50,-42.37,447.45,ground1
64.71,-280.43,450.86,ground1
271.82,-282.78,352.13,ground1
311.11,39.46,352.34,ground1
54.62,-296.91,454.19,ground1
83.41,24.68,430.38,ground1
176.95,52.86,367.47,ground1
57.55,-38.13,452.21,ground1
268.21,-38.45,352.22,ground1
355.21,13.63,403.24,ground1
355.37,55.46,403.20,ground1
311.62,-196.26,352.16,ground1
57.27,-24.77,452.58,ground1
57.58,-176.55,452.17,ground1
-51.87,31.24,426.26,ground1
311.67,-157.11,352.25,ground1
-26.83,-288.35,441.29,ground1
56.78,72.37,453.23,ground1
345.23,-272.59,402.14,ground1
451.21,-297.28,420.59,ground1
-61.19,-285.88,419.68,ground1
353.79,68.60,403.32,ground1
344.99,34.32,402.14,ground1
64.53,47.36,450.91,ground1
295.56,-294.38,352.06,ground1
47.46,-184.00,455.54,ground1
355.01,-97.70,403.87,ground1
505.48,11.18,433.41,ground1
57.67,-106.71,452.05,ground1
