X,Y,Z,azimuth,dip,polarity,formation
123.35,-243.34,372.87,269,37,1,ground1
216.60,-32.19,325.41,252,10,1,ground1
198.64,-298.22,328.95,261,17,1,ground1
475.62,-192.46,347.21,90,13,1,ground1
-16.76,68.01,435.79,95,25,1,ground1
139.25,-285.02,361.18,271,36,1,ground1
504.19,-196.11,354.07,90,14,1,ground1
82.01,19.34,431.08,273,31,1,ground1
47.84,-4.22,444.80,270,17,1,ground1
17.51,68.94,446.18,109,7,1,ground1
459.65,-165.42,343.52,90,13,1,ground1
105.59,-56.44,385.91,270,32,1,ground1
55.83,68.54,442.67,263,17,1,ground1
105.60,-78.78,385.88,270,32,1,ground1
163.29,34.94,227.02,276,27,1,ground2
462.24,-273.45,196.09,89,13,1,ground2
186.35,35.92,185.45,264,27,1,ground2
184.29,-191.87,185.79,276,31,1,ground2
24.49,-96.97,298.24,90,7,1,ground2
157.21,-305.70,230.84,268,34,1,ground2
49.78,-141.02,295.72,270,19,1,ground2
184.58,-201.60,185.04,276,31,1,ground2
157.67,-6.69,230.34,270,34,1,ground2
73.22,52.19,287.73,273,27,1,ground2
476.09,76.93,217.24,89,13,1,ground2
190.85,-153.02,183.73,277,21,1,ground2
62.28,-117.44,291.49,270,19,1,ground2
186.42,29.82,185.25,276,27,1,ground2
118.46,-38.78,258.47,270,37,1,ground2
-60.00,9.41,91.38,90,35,1,ground3
508.07,-252.64,55.03,90,14,1,ground3
-22.70,-108.83,114.46,91,26,1,ground3
194.03,-161.22,42.59,280,20,1,ground3
232.32,-132.02,35.25,259,2,1,ground3
408.40,-80.57,32.61,93,11,1,ground3
232.36,-150.88,35.14,294,2,1,ground3
27.51,-139.38,129.16,90,4,1,ground3
233.55,-311.43,34.89,247,1,1,ground3
225.84,38.61,36.57,248,7,1,ground3
86.13,-165.32,110.07,270,32,1,ground3
219.35,54.93,36.55,248,7,1,ground3
406.79,-222.08,32.36,93,11,1,ground3
353.49,-140.48,6.68,75,6,1,ground3
500.52,-92.73,53.19,90,14,1,ground3
70.36,-79.74,474.60,90,69,1,fault1
229.49,114.32,62.22,90,69,1,fault1
165.61,66.55,227.77,90,69,1,fault1
103.40,111.54,388.98,90,69,1,fault1
229.49,-324.32,62.22,90,69,1,fault1
81.37,-80.30,446.06,90,69,1,fault1
181.74,-189.27,185.97,90,69,1,fault1
193.95,-93.52,154.32,90,69,1,fault1
173.76,-263.50,206.64,90,69,1,fault1
120.80,-64.62,343.89,90,69,1,fault1
121.03,51.53,343.29,90,69,1,fault1
103.60,-81.64,388.45,90,69,1,fault1
217.19,4.77,94.09,90,69,1,fault1
145.60,-188.70,279.62,90,69,1,fault1
64.33,49.77,490.22,90,69,1,fault1
64.84,-53.58,488.89,90,69,1,fault1
226.43,-157.76,70.15,90,69,1,fault1
406.35,-83.58,54.70,90,67,1,fault2
468.09,-86.19,198.68,90,67,1,fault2
439.97,-93.60,133.10,90,67,1,fault2
489.17,-185.41,247.85,90,67,1,fault2
406.50,-187.73,55.04,90,67,1,fault2
387.55,-258.62,10.85,90,67,1,fault2
489.95,-134.33,249.66,90,67,1,fault2
462.33,-231.67,185.24,90,67,1,fault2
429.74,-84.67,109.23,90,67,1,fault2
436.55,-284.29,125.14,90,67,1,fault2
448.97,3.76,154.11,90,67,1,fault2
431.53,-189.78,113.42,90,67,1,fault2
