X,Y,Z,formation
123.35,-243.34,372.87,ground1
216.60,-32.19,325.41,ground1
62.34,-116.06,439.46,ground1
104.83,-22.57,386.51,ground1
564.42,-277.97,369.18,ground1
198.64,-298.22,328.95,ground1
475.62,-192.46,347.21,ground1
82.43,-221.95,430.28,ground1
-16.76,68.01,435.79,ground1
244.89,8.16,322.63,ground1
399.30,-105.41,330.92,ground1
104.81,-9.81,386.56,ground1
84.24,-82.41,429.31,ground1
139.25,-285.02,361.18,ground1
504.19,-196.11,354.07,ground1
82.01,19.34,431.08,ground1
47.84,-4.22,444.80,ground1
105.65,-130.59,385.82,ground1
17.51,68.94,446.18,ground1
104.81,-10.98,386.56,ground1
459.65,-165.42,343.52,ground1
-13.02,-79.78,437.05,ground1
151.11,-116.69,352.82,ground1
353.49,-140.48,324.68,ground1
243.15,-20.74,322.68,ground1
105.59,-56.44,385.91,ground1
121.23,-297.95,374.55,ground1
55.83,68.54,442.67,ground1
105.60,-78.78,385.88,ground1
498.78,-42.85,222.77,ground2
44.88,-268.22,298.02,ground2
163.29,34.94,227.02,ground2
29.31,32.80,299.46,ground2
462.24,-273.45,196.09,ground2
186.35,35.92,185.45,ground2
192.52,-95.93,183.06,ground2
270.89,46.82,174.15,ground2
184.29,-191.87,185.79,ground2
157.88,-52.65,231.05,ground2
482.80,-268.19,218.92,ground2
72.60,-262.46,288.06,ground2
479.34,-115.91,218.08,ground2
-47.44,-65.19,269.89,ground2
24.49,-96.97,298.24,ground2
157.21,-305.70,230.84,ground2
49.78,-141.02,295.72,ground2
462.22,42.90,196.08,ground2
184.58,-201.60,185.04,ground2
461.88,-187.40,196.01,ground2
157.67,-6.69,230.34,ground2
73.22,52.19,287.73,ground2
476.09,76.93,217.24,ground2
190.85,-153.02,183.73,ground2
62.28,-117.44,291.49,ground2
128.56,-217.26,250.82,ground2
186.42,29.82,185.25,ground2
47.75,-228.75,296.85,ground2
17.66,-304.90,298.20,ground2
-7.92,-128.42,291.18,ground2
-45.49,-168.25,271.04,ground2
453.67,-15.90,194.22,ground2
518.91,-169.85,227.70,ground2
244.53,-207.95,174.62,ground2
186.53,25.35,184.99,ground2
448.25,-292.13,192.91,ground2
184.42,-196.48,185.43,ground2
118.46,-38.78,258.47,ground2
476.09,76.82,217.24,ground2
-58.41,-242.88,262.33,ground2
193.42,-3.75,183.38,ground2
476.09,76.86,217.24,ground2
186.33,33.92,185.50,ground2
-60.00,9.41,91.38,ground3
229.85,-65.08,35.34,ground3
508.07,-252.64,55.03,ground3
73.63,-287.81,117.54,ground3
157.45,-298.95,60.51,ground3
397.35,-261.64,30.23,ground3
55.22,19.95,124.96,ground3
382.90,5.65,9.73,ground3
-22.70,-108.83,114.46,ground3
295.24,-25.21,4.12,ground3
272.81,17.58,4.15,ground3
408.43,-105.04,32.69,ground3
194.03,-161.22,42.59,ground3
-25.91,-8.84,112.60,ground3
405.88,-5.03,32.16,ground3
232.32,-132.02,35.25,ground3
120.86,-193.61,86.76,ground3
86.01,-116.09,110.20,ground3
397.36,-271.38,30.25,ground3
408.40,-80.57,32.61,ground3
-49.83,69.79,98.58,ground3
271.97,-33.13,4.18,ground3
408.31,-248.95,32.43,ground3
232.36,-150.88,35.14,ground3
27.51,-139.38,129.16,ground3
216.87,-167.75,37.14,ground3
547.64,-294.31,64.91,ground3
49.81,-92.45,125.71,ground3
233.55,-311.43,34.89,ground3
225.84,38.61,36.57,ground3
44.93,-267.92,128.00,ground3
258.65,-241.82,4.24,ground3
476.11,51.87,47.33,ground3
254.70,-99.94,4.38,ground3
408.45,-96.91,32.72,ground3
564.42,-245.31,69.18,ground3
349.17,-236.81,5.93,ground3
86.13,-165.32,110.07,ground3
383.15,-215.58,9.84,ground3
219.35,54.93,36.55,ground3
383.13,-304.73,9.80,ground3
233.00,-5.34,35.12,ground3
406.79,-222.08,32.36,ground3
425.89,21.82,36.09,ground3
353.49,-140.48,6.68,ground3
-7.43,-152.39,121.34,ground3
500.52,-92.73,53.19,ground3
405.82,-23.35,32.02,ground3
112.09,-194.81,366.45,fault1
112.10,66.19,366.43,fault1
242.80,-78.94,27.73,fault1
201.52,-307.88,134.70,fault1
70.36,-79.74,474.60,fault1
229.49,114.32,62.22,fault1
232.12,-267.07,55.41,fault1
165.61,66.55,227.77,fault1
120.73,-237.39,344.08,fault1
191.14,-145.03,161.59,fault1
103.40,111.54,388.98,fault1
191.93,112.17,159.55,fault1
221.46,-309.77,83.03,fault1
112.14,-307.56,366.33,fault1
209.32,-129.28,114.50,fault1
229.49,-324.32,62.22,fault1
81.37,-80.30,446.06,fault1
222.60,-280.17,80.08,fault1
181.74,-189.27,185.97,fault1
193.95,-93.52,154.32,fault1
173.76,-263.50,206.64,fault1
173.41,-233.67,207.56,fault1
242.72,-182.48,27.92,fault1
120.80,-64.62,343.89,fault1
183.06,-307.77,182.55,fault1
191.56,-174.10,160.52,fault1
248.08,-156.70,14.04,fault1
121.03,51.53,343.29,fault1
103.60,-81.64,388.45,fault1
98.23,-161.42,402.36,fault1
217.19,4.77,94.09,fault1
112.82,7.20,364.56,fault1
121.25,-157.42,342.71,fault1
145.60,-188.70,279.62,fault1
64.33,49.77,490.22,fault1
64.84,-53.58,488.89,fault1
226.43,-157.76,70.15,fault1
243.75,-232.02,25.27,fault1
201.63,-278.97,134.42,fault1
121.11,-322.67,343.08,fault1
77.15,-285.03,456.99,fault1
501.07,-236.07,275.60,fault2
416.38,-310.19,78.09,fault2
406.35,-83.58,54.70,fault2
423.97,-0.85,95.79,fault2
468.09,-86.19,198.68,fault2
439.97,-93.60,133.10,fault2
442.69,-243.55,139.45,fault2
506.72,-109.02,288.78,fault2
428.15,104.27,105.53,fault2
489.17,-185.41,247.85,fault2
394.22,-279.94,26.41,fault2
430.21,-242.64,110.34,fault2
389.57,-306.88,15.56,fault2
484.21,105.05,236.30,fault2
501.03,-134.39,275.52,fault2
406.50,-187.73,55.04,fault2
485.12,48.54,238.42,fault2
405.53,-267.39,52.77,fault2
387.55,-258.62,10.85,fault2
489.95,-134.33,249.66,fault2
412.47,-162.92,68.96,fault2
501.05,-83.69,275.56,fault2
412.17,-110.17,68.27,fault2
506.43,-7.63,288.11,fault2
462.33,-231.67,185.24,fault2
405.54,48.81,52.81,fault2
