X,Y,Z,azimuth,dip,polarity,formation
139.08,-138.94,329.64,271,32,1,ground1
80.14,-251.44,365.83,272,28,1,ground1
504.30,-102.47,389.52,102,1,1,ground1
82.15,-85.44,364.91,270,29,1,ground1
145.05,-43.53,325.99,268,31,1,ground1
373.60,-89.54,369.34,88,10,1,ground1
548.04,-40.28,382.61,272,26,1,ground1
33.45,-117.04,380.17,271,5,1,ground1
-6.49,-191.82,372.87,89,23,1,ground1
464.66,44.40,386.59,85,8,1,ground1
564.96,-202.98,371.43,269,48,1,ground1
537.19,72.75,386.86,265,13,1,ground1
287.25,59.82,361.46,136,1,1,ground1
302.12,68.42,361.68,81,1,1,ground1
149.52,-112.98,323.38,271,31,1,ground1
52.92,-268.53,377.06,261,17,1,ground1
458.50,6.63,385.69,93,9,1,ground1
26.06,16.00,380.35,126,5,1,ground1
-62.33,-176.44,344.70,90,29,1,ground1
229.93,-91.73,300.64,261,3,1,ground1
227.54,-41.37,300.81,259,3,1,ground1
235.69,-215.48,300.34,276,2,1,ground1
487.36,-269.71,388.98,85,5,1,ground1
547.09,-276.43,383.45,266,24,1,ground1
66.90,-277.32,372.08,274,23,1,ground1
333.98,-35.85,363.53,81,5,1,ground1
543.88,-89.95,384.17,272,23,1,ground1
-54.40,-221.84,349.15,90,29,1,ground1
106.39,-17.55,350.59,271,32,1,ground1
226.90,41.07,300.85,281,3,1,ground1
106.23,68.41,350.72,269,32,1,ground1
302.44,16.78,361.71,78,1,1,ground1
375.43,-278.99,369.59,92,11,1,ground1
288.55,-137.70,361.49,54,1,1,ground1
429.11,-282.51,380.52,90,11,1,ground1
226.56,-224.50,300.87,258,3,1,ground1
503.22,-255.09,389.70,123,2,1,ground1
233.08,-103.93,300.58,261,3,1,ground1
575.73,62.39,355.50,270,69,1,ground1
266.64,2.29,361.54,262,1,1,ground1
-4.69,-250.49,373.53,86,22,1,ground1
15.63,-86.80,379.10,88,13,1,ground1
-4.22,28.98,373.75,87,21,1,ground1
-54.94,-71.29,348.86,90,29,1,ground1
285.55,-93.99,361.42,155,0,1,ground1
446.91,-231.05,383.80,92,10,1,ground1
163.69,-121.78,315.92,266,26,1,ground1
266.72,-45.39,361.53,262,1,1,ground1
40.84,9.14,379.86,287,9,1,ground1
235.84,-298.14,300.31,266,2,1,ground1
531.43,-271.40,387.86,261,10,1,ground1
531.66,-63.12,387.52,263,8,1,ground1
117.61,-191.19,343.40,270,33,1,ground1
566.72,71.21,370.53,273,50,1,ground1
555.08,-203.56,379.03,272,28,1,ground1
10.59,58.65,378.26,78,13,1,ground1
235.82,-250.70,300.33,264,2,1,ground1
223.94,-139.22,301.06,280,4,1,ground1
8.65,-225.20,377.75,83,13,1,ground1
316.95,-294.90,362.26,77,3,1,ground1
574.45,-252.81,358.89,270,69,1,ground1
361.68,18.08,367.16,86,9,1,ground1
133.42,-69.44,333.19,270,33,1,ground1
39.06,59.37,379.84,296,8,1,ground1
271.71,-24.29,361.52,249,1,1,ground1
556.91,16.15,378.28,269,35,1,ground1
235.87,69.48,300.32,274,2,1,ground1
8.61,-189.77,377.86,95,13,1,ground1
568.43,-64.26,367.40,270,47,1,ground1
266.64,0.09,361.54,262,1,1,ground1
271.55,-265.06,361.51,291,1,1,ground1
23.70,-250.69,380.19,59,5,1,ground1
566.94,-241.29,369.75,269,50,1,ground1
575.73,-247.20,355.50,270,69,1,ground1
266.72,-48.84,361.54,262,1,1,ground1
51.84,-216.39,377.29,259,16,1,ground1
266.60,-172.64,361.52,262,1,1,ground1
-8.69,-131.37,372.01,90,23,1,ground1
15.93,-146.07,379.14,90,13,1,ground1
422.72,-209.58,379.23,89,11,1,ground1
347.43,-243.96,365.05,86,8,1,ground1
458.08,-241.33,385.63,87,9,1,ground1
230.93,49.66,300.72,281,3,1,ground1
504.24,-285.09,389.70,178,1,1,ground1
489.54,-219.16,389.14,103,3,1,ground1
562.12,-273.70,374.58,271,37,1,ground1
106.00,-268.89,350.84,269,32,1,ground1
316.98,59.89,362.27,102,3,1,ground1
-19.02,-276.13,367.59,88,25,1,ground1
494.37,65.85,389.57,73,3,1,ground1
569.76,75.83,366.87,269,53,1,ground1
361.76,-253.12,367.17,93,9,1,ground1
377.57,-6.51,370.01,88,11,1,ground1
198.16,-294.80,304.14,281,10,1,ground1
475.95,-11.88,387.97,93,7,1,ground1
529.01,-144.04,387.94,273,6,1,ground1
497.26,-146.07,389.40,105,1,1,ground1
574.45,-282.65,358.89,270,69,1,ground1
556.48,45.69,378.54,266,35,1,ground1
84.87,-122.46,363.30,271,30,1,ground1
236.81,-77.04,300.31,264,2,1,ground1
212.01,-200.01,302.21,260,7,1,ground1
453.04,49.92,384.87,90,9,1,ground1
528.12,-116.79,388.06,270,6,1,ground1
309.32,-114.95,361.96,82,3,1,ground1
529.51,-292.64,388.20,281,8,1,ground1
239.56,-130.69,300.18,279,1,1,ground1
543.50,23.56,384.74,273,21,1,ground1
317.89,-9.23,362.33,81,3,1,ground1
235.90,17.52,300.33,276,2,1,ground1
32.89,-87.42,380.22,265,5,1,ground1
302.43,-70.34,361.71,103,1,1,ground1
169.95,-294.80,312.88,274,24,1,ground1
183.81,-303.40,307.66,263,17,1,ground1
93.60,8.29,358.38,271,30,1,ground1
156.71,68.41,319.32,271,28,1,ground1
392.29,-94.25,372.95,90,12,1,ground1
89.35,-139.89,360.84,268,29,1,ground1
-9.02,-70.25,371.89,90,23,1,ground1
15.22,-174.18,379.10,93,13,1,ground1
574.45,-121.22,358.89,270,69,1,ground1
429.14,47.54,380.53,90,11,1,ground1
271.66,-212.21,361.51,291,1,1,ground1
92.64,-173.75,358.95,272,30,1,ground1
490.17,-15.18,389.19,78,3,1,ground1
512.81,-291.44,389.58,281,2,1,ground1
399.08,-170.01,374.37,90,12,1,ground1
569.27,-19.98,366.68,270,48,1,ground1
32.05,-56.99,380.13,264,4,1,ground1
235.09,-157.03,300.43,277,2,1,ground1
455.84,-256.16,385.26,92,9,1,ground1
131.27,34.03,334.54,270,33,1,ground1
184.11,16.84,307.78,280,17,1,ground1
67.23,59.80,371.98,275,24,1,ground1
188.27,-87.07,306.69,277,16,1,ground1
563.27,-156.45,372.79,269,47,1,ground1
38.21,-242.04,379.93,242,7,1,ground1
575.73,-209.96,355.50,270,69,1,ground1
40.02,-7.30,379.91,257,9,1,ground1
482.86,-41.69,388.55,82,4,1,ground1
108.68,-86.41,349.13,269,33,1,ground1
431.78,-159.28,381.01,89,11,1,ground1
568.04,-143.59,367.66,270,46,1,ground1
404.60,13.28,375.53,90,12,1,ground1
534.08,25.37,387.34,264,10,1,ground1
331.80,68.48,363.28,84,5,1,ground1
-53.73,54.17,349.53,90,29,1,ground1
