X,Y,Z,formation
539.46,-217.09,385.86,ground1
139.08,-138.94,329.64,ground1
80.14,-251.44,365.83,ground1
552.11,-291.97,381.26,ground1
152.74,-147.82,321.58,ground1
142.52,-191.29,327.53,ground1
332.00,-269.36,363.36,ground1
504.30,-102.47,389.52,ground1
-54.90,-131.45,348.88,ground1
394.39,-204.74,373.39,ground1
517.35,-211.75,389.31,ground1
575.73,-139.18,355.50,ground1
82.15,-85.44,364.91,ground1
570.60,-304.43,365.56,ground1
302.27,34.05,361.70,ground1
6.97,-70.82,377.15,ground1
145.05,-43.53,325.99,ground1
373.60,-89.54,369.34,ground1
548.04,-40.28,382.61,ground1
-30.86,-303.37,361.93,ground1
226.87,61.37,300.85,ground1
230.89,-284.70,300.72,ground1
33.45,-117.04,380.17,ground1
-6.49,-191.82,372.87,ground1
-16.74,-85.93,368.55,ground1
464.66,44.40,386.59,ground1
318.65,-140.18,362.35,ground1
114.08,-138.48,345.65,ground1
215.55,-69.60,301.78,ground1
271.46,-75.47,361.52,ground1
351.24,-64.12,365.57,ground1
570.13,61.44,365.96,ground1
564.96,-202.98,371.43,ground1
537.19,72.75,386.86,ground1
236.81,-81.98,300.30,ground1
564.95,-30.39,371.44,ground1
287.25,59.82,361.46,ground1
442.86,-261.50,383.08,ground1
302.12,68.42,361.68,ground1
127.38,-147.50,337.06,ground1
149.52,-112.98,323.38,ground1
52.92,-268.53,377.06,ground1
235.08,-160.88,300.41,ground1
569.88,-232.50,366.17,ground1
480.94,-147.89,388.42,ground1
458.50,6.63,385.69,ground1
570.35,32.28,365.77,ground1
26.06,16.00,380.35,ground1
575.73,19.63,355.50,ground1
-62.33,-176.44,344.70,ground1
229.93,-91.73,300.64,ground1
403.16,-280.49,375.23,ground1
228.29,-63.19,300.78,ground1
198.14,-277.60,304.26,ground1
227.54,-41.37,300.81,ground1
235.69,-215.48,300.34,ground1
-62.38,34.34,344.68,ground1
487.36,-269.71,388.98,ground1
574.45,44.82,358.89,ground1
547.09,-276.43,383.45,ground1
67.14,-8.75,371.98,ground1
66.90,-277.32,372.08,ground1
-55.06,-251.77,348.80,ground1
213.46,-17.56,302.04,ground1
143.67,-277.59,326.83,ground1
549.67,32.27,382.31,ground1
-55.57,-304.58,348.52,ground1
361.27,-270.10,367.08,ground1
333.98,-35.85,363.53,ground1
543.88,-89.95,384.17,ground1
559.46,54.33,376.35,ground1
-54.40,-221.84,349.15,ground1
106.39,-17.55,350.59,ground1
226.90,41.07,300.85,ground1
10.24,-242.67,378.25,ground1
575.73,-303.48,355.50,ground1
106.23,68.41,350.72,ground1
302.44,16.78,361.71,ground1
375.43,-278.99,369.59,ground1
92.73,-191.19,358.90,ground1
288.55,-137.70,361.49,ground1
429.11,-282.51,380.52,ground1
226.56,-224.50,300.87,ground1
503.22,-255.09,389.70,ground1
233.08,-103.93,300.58,ground1
575.73,62.39,355.50,ground1
271.55,31.32,361.50,ground1
191.90,-121.92,305.71,ground1
448.14,-154.80,384.00,ground1
266.64,2.29,361.54,ground1
